artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,cluster,context,rank,URL_Couverture_Album
Madison Avenue,Don't Call Me Baby,228140,False,1999,56,0.808,0.982,3,-6.588,minor,0.0311,0.0585,0.00689,0.35,0.961,124.999,dance/electronic,1,Détente,20,https://i.scdn.co/image/ab67616d0000b273f51fc474a102cb71b1ffeedb
Destiny's Child,"Jumpin', Jumpin'",230200,False,1999,70,0.771,0.685,1,-4.639,major,0.0567,0.00543,0.00157,0.0537,0.683,88.997,pop,1,Détente,7,https://i.scdn.co/image/ab67616d0000b2733718df75b57340c1947747e8
Céline Dion,That's the Way It Is,241373,False,1999,64,0.634,0.886,9,-5.424,major,0.0434,0.154,0.0,0.118,0.577,93.04,pop,3,Sport,12,https://i.scdn.co/image/ab67616d0000b2734c3fe91cc62bdf33ec2af16f
3 Doors Down,Kryptonite,233933,False,2000,78,0.545,0.865,11,-5.708,minor,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,pop,3,Sport,4,https://i.scdn.co/image/ab67616d0000b2732868c4713a3912fd476b42f1
Carl Thomas,I Wish,226760,False,2000,52,0.736,0.666,1,-4.929,major,0.0337,0.0593,3.82e-05,0.107,0.224,89.824,pop,3,Sport,26,https://i.scdn.co/image/ab67616d0000b273a4e148157bda29d2bdf3577d
Mystikal,Shake Ya Ass,256973,True,2000,57,0.914,0.607,7,-5.658,major,0.32,0.0626,0.0,0.0515,0.666,98.054,hip hop,1,Détente,21,https://i.scdn.co/image/ab67616d0000b27346ab0f1c2570d181bab033a5
Fuel,Hemorrhage (In My Hands),236866,False,2000,49,0.313,0.831,1,-3.894,major,0.0404,0.000127,0.000341,0.24,0.332,152.034,rock,3,Sport,28,https://i.scdn.co/image/ab67616d0000b273e02669b28cb76940fc63bed1
Donell Jones,Where I Wanna Be,253626,False,1999,57,0.664,0.396,5,-9.131,minor,0.0298,0.52,0.0,0.268,0.453,102.053,pop,2,Fêtes,19,https://i.scdn.co/image/ab67616d0000b2733b970f005df5b59e8ec25d5e
Savage Garden,Crash and Burn,281466,False,1999,54,0.581,0.607,4,-8.458,major,0.028,0.189,1.6e-06,0.0882,0.213,102.03,pop,3,Sport,21,https://i.scdn.co/image/ab67616d0000b2735f2acb28c792e4594c0f11e8
Westlife,My Love,231760,False,2000,68,0.491,0.593,0,-5.975,major,0.0255,0.098,0.0,0.257,0.328,144.142,pop,3,Sport,12,https://i.scdn.co/image/ab67616d0000b27315f19e3b1fbfc5a2f164fb6a
All Saints,Pure Shores,268746,False,2000,62,0.631,0.664,6,-9.197,major,0.0242,0.0498,0.00042,0.0696,0.407,100.618,pop,3,Sport,16,https://i.scdn.co/image/ab67616d0000b273c919cc963e27a28375201a5a
Destiny's Child,"Independent Women, Pt. 1",221133,False,2001,65,0.73,0.602,6,-3.782,minor,0.206,0.362,3.69e-06,0.169,0.927,97.954,pop,1,Détente,14,https://i.scdn.co/image/ab67616d0000b273c5b46ee859d728b295062346
*NSYNC,It's Gonna Be Me,191040,False,2000,60,0.644,0.874,0,-4.666,minor,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09,pop,1,Détente,18,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909
Erykah Badu,Bag Lady,348893,False,2000,54,0.724,0.416,5,-8.964,minor,0.0841,0.365,0.0,0.0969,0.578,151.181,hip hop,3,Sport,24,https://i.scdn.co/image/ab67616d0000b2730d934cb462fae5a26f829efb
Marc Anthony,You Sang To Me,347106,False,1999,56,0.578,0.894,10,-5.42,major,0.0296,0.0103,2.66e-06,0.216,0.741,165.98,pop,3,Sport,20,https://i.scdn.co/image/ab67616d0000b273427f8620c555ad3da3f50629
Matchbox Twenty,Bent,256133,False,2000,54,0.518,0.83,6,-6.814,minor,0.0386,0.0404,3.85e-06,0.375,0.527,95.468,pop,3,Sport,24,https://i.scdn.co/image/ab67616d0000b2733813e6d5d97334659fb1daed
Gabrielle,Rise,219093,False,2001,60,0.558,0.481,8,-9.487,major,0.026,0.315,8.83e-06,0.09,0.631,144.673,pop,3,Sport,19,https://i.scdn.co/image/ab67616d0000b2738fdb084676b2c86231f4b244
Backstreet Boys,Shape of My Heart,230093,False,2000,70,0.575,0.786,9,-4.353,major,0.0296,0.252,0.0,0.159,0.518,96.102,pop,3,Sport,10,https://i.scdn.co/image/ab67616d0000b273cf871e6326e334bfa92cff20
Creed,With Arms Wide Open,274800,False,1999,64,0.41,0.539,0,-8.412,major,0.0302,0.00425,0.00089,0.117,0.141,138.852,pop,3,Sport,12,https://i.scdn.co/image/ab67616d0000b273f8f048a5f4749c970078a4fb
The Corrs,Breathless,207506,False,2000,68,0.607,0.82,11,-7.754,major,0.0597,0.0541,6.8e-05,0.269,0.768,126.988,pop,1,Détente,12,https://i.scdn.co/image/ab67616d0000b2735320a1b471ae75632ef787e5
Joe,I Wanna Know,296693,False,2000,65,0.725,0.487,8,-5.959,minor,0.0368,0.26,1.09e-05,0.431,0.599,136.086,pop,3,Sport,14,https://i.scdn.co/image/ab67616d0000b273a922b88ddf084fada794caf9
Wheatus,Teenage Dirtbag,241666,True,1999,71,0.625,0.85,4,-3.904,major,0.0495,0.346,0.000233,0.174,0.633,94.661,unknown,1,Détente,6,https://i.scdn.co/image/ab67616d0000b2730a3740efa638f10f14fabc46
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,False,1999,64,0.829,0.915,8,-3.205,major,0.106,0.226,1.25e-05,0.246,0.779,118.903,pop,1,Détente,12,https://i.scdn.co/image/ab67616d0000b273f89996e214be1763b2a9e948
Creed,Higher,316733,False,1999,69,0.459,0.83,2,-6.254,major,0.0364,5.15e-05,0.00014,0.206,0.431,155.827,pop,3,Sport,8,https://i.scdn.co/image/ab67616d0000b273f8f048a5f4749c970078a4fb
Britney Spears,Lucky,206226,False,2000,65,0.765,0.791,8,-5.707,major,0.0317,0.262,0.000154,0.0669,0.966,95.026,pop,1,Détente,14,https://i.scdn.co/image/ab67616d0000b273c50b7d96737041f4bfd844d6
Nelly,Country Grammar (Hot Shit),287000,True,2000,68,0.865,0.664,2,-6.822,major,0.108,0.00689,0.0,0.142,0.565,162.831,hip hop,3,Sport,12,https://i.scdn.co/image/ab67616d0000b273a7ad64a69a42647de9dd0dad
Shaggy,It Wasn't Me,227600,False,2000,76,0.853,0.606,0,-4.596,major,0.0713,0.0561,0.0,0.313,0.654,94.759,hip hop,1,Détente,6,https://i.scdn.co/image/ab67616d0000b2739449f9491c364d28a9668e17
Destiny's Child,Survivor,254026,False,2001,70,0.514,0.911,1,-2.027,minor,0.41,0.0559,0.0,0.775,0.619,161.109,pop,3,Sport,9,https://i.scdn.co/image/ab67616d0000b27369c31a0f21885826fa6813f0
Eminem,Stan,404106,True,2000,83,0.78,0.768,6,-4.325,minor,0.238,0.0371,2.34e-06,0.518,0.507,80.063,hip hop,1,Détente,2,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42
Kylie Minogue,Can't Get You out of My Head,230640,False,2001,73,0.766,0.563,9,-7.516,minor,0.0339,0.0263,0.683,0.115,0.964,126.007,pop,1,Détente,6,https://i.scdn.co/image/ab67616d0000b2735d6121285c42ea4535e59048
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,False,2001,68,0.76,0.801,5,-3.769,major,0.0534,0.0144,1.49e-05,0.665,0.653,109.919,pop,1,Détente,11,https://i.scdn.co/image/ab67616d0000b273e6e0891de00a924b0f186d0c
Nelly Furtado,I'm Like A Bird,243160,False,2000,1,0.622,0.608,10,-5.085,major,0.036,0.138,5.38e-06,0.273,0.607,89.661,hip hop,3,Sport,31,https://i.scdn.co/image/ab67616d0000b273709087714422d592d6591f41
